Image,IOULG,IOULD,IOUDG,threshold_DT,threshold_GC,prediction,models
0.png,0.060660597078128306,7.382253063635022e-05,0.0,0.5,0.6,pier,Vgg
0.png,0.05347343841214244,7.382253063635022e-05,0.0,0.5,0.7,pier,Vgg
0.png,0.043436106263331394,7.382253063635022e-05,0.0,0.5,0.8,pier,Vgg
0.png,0.01430898916200326,7.382253063635022e-05,0.0,0.5,0.9,pier,Vgg
0.png,0.0,7.382253063635022e-05,0.0,0.5,1,pier,Vgg
0.png,0.07208533333333333,0.0,0.0,0.6,0,pier,Vgg
0.png,0.13124638638803998,0.0,0.0,0.6,0.1,pier,Vgg
0.png,0.14433506174695024,0.0,0.0,0.6,0.2,pier,Vgg
0.png,0.11347076594988449,0.0,0.0,0.6,0.3,pier,Vgg
0.png,0.08164500623108421,0.0,0.0,0.6,0.4,pier,Vgg
0.png,0.07227124941941478,0.0,0.0,0.6,0.5,pier,Vgg
0.png,0.060660597078128306,0.0,0.0,0.6,0.6,pier,Vgg
0.png,0.05347343841214244,0.0,0.0,0.6,0.7,pier,Vgg
0.png,0.043436106263331394,0.0,0.0,0.6,0.8,pier,Vgg
0.png,0.01430898916200326,0.0,0.0,0.6,0.9,pier,Vgg
0.png,0.0,0.0,0.0,0.6,1,pier,Vgg
0.png,0.07208533333333333,0.0,0.0,0.7,0,pier,Vgg
0.png,0.13124638638803998,0.0,0.0,0.7,0.1,pier,Vgg
0.png,0.14433506174695024,0.0,0.0,0.7,0.2,pier,Vgg
0.png,0.11347076594988449,0.0,0.0,0.7,0.3,pier,Vgg
0.png,0.08164500623108421,0.0,0.0,0.7,0.4,pier,Vgg
0.png,0.07227124941941478,0.0,0.0,0.7,0.5,pier,Vgg
0.png,0.060660597078128306,0.0,0.0,0.7,0.6,pier,Vgg
0.png,0.05347343841214244,0.0,0.0,0.7,0.7,pier,Vgg
0.png,0.043436106263331394,0.0,0.0,0.7,0.8,pier,Vgg
0.png,0.01430898916200326,0.0,0.0,0.7,0.9,pier,Vgg
0.png,0.0,0.0,0.0,0.7,1,pier,Vgg
0.png,0.07208533333333333,0.0,0.0,0.8,0,pier,Vgg
0.png,0.13124638638803998,0.0,0.0,0.8,0.1,pier,Vgg
0.png,0.14433506174695024,0.0,0.0,0.8,0.2,pier,Vgg
0.png,0.11347076594988449,0.0,0.0,0.8,0.3,pier,Vgg
0.png,0.08164500623108421,0.0,0.0,0.8,0.4,pier,Vgg
0.png,0.07227124941941478,0.0,0.0,0.8,0.5,pier,Vgg
0.png,0.060660597078128306,0.0,0.0,0.8,0.6,pier,Vgg
0.png,0.05347343841214244,0.0,0.0,0.8,0.7,pier,Vgg
0.png,0.043436106263331394,0.0,0.0,0.8,0.8,pier,Vgg
0.png,0.01430898916200326,0.0,0.0,0.8,0.9,pier,Vgg
0.png,0.0,0.0,0.0,0.8,1,pier,Vgg
0.png,0.07208533333333333,0.0,0.0,0.9,0,pier,Vgg
0.png,0.13124638638803998,0.0,0.0,0.9,0.1,pier,Vgg
0.png,0.14433506174695024,0.0,0.0,0.9,0.2,pier,Vgg
0.png,0.11347076594988449,0.0,0.0,0.9,0.3,pier,Vgg
0.png,0.08164500623108421,0.0,0.0,0.9,0.4,pier,Vgg
0.png,0.07227124941941478,0.0,0.0,0.9,0.5,pier,Vgg
0.png,0.060660597078128306,0.0,0.0,0.9,0.6,pier,Vgg
0.png,0.05347343841214244,0.0,0.0,0.9,0.7,pier,Vgg
0.png,0.043436106263331394,0.0,0.0,0.9,0.8,pier,Vgg
0.png,0.01430898916200326,0.0,0.0,0.9,0.9,pier,Vgg
0.png,0.0,0.0,0.0,0.9,1,pier,Vgg
0.png,0.07208533333333333,0.0,0.0,1,0,pier,Vgg
0.png,0.13124638638803998,0.0,0.0,1,0.1,pier,Vgg
0.png,0.14433506174695024,0.0,0.0,1,0.2,pier,Vgg
0.png,0.11347076594988449,0.0,0.0,1,0.3,pier,Vgg
0.png,0.08164500623108421,0.0,0.0,1,0.4,pier,Vgg
0.png,0.07227124941941478,0.0,0.0,1,0.5,pier,Vgg
0.png,0.060660597078128306,0.0,0.0,1,0.6,pier,Vgg
0.png,0.05347343841214244,0.0,0.0,1,0.7,pier,Vgg
0.png,0.043436106263331394,0.0,0.0,1,0.8,pier,Vgg
0.png,0.01430898916200326,0.0,0.0,1,0.9,pier,Vgg
0.png,0.0,0.0,0.0,1,1,pier,Vgg
1.png,0.873125,0.873125,1.0,0,0,hair_slide,Vgg
1.png,0.5846748681898066,0.873125,0.6922916666666666,0,0.1,hair_slide,Vgg
1.png,0.37188464724041864,0.873125,0.3921527777777778,0,0.2,hair_slide,Vgg
1.png,0.237017099430019,0.873125,0.2120138888888889,0,0.3,hair_slide,Vgg
1.png,0.15127654497733237,0.873125,0.13208333333333333,0,0.4,hair_slide,Vgg
1.png,0.09369283385031417,0.873125,0.08180555555555556,0,0.5,hair_slide,Vgg
1.png,0.04708502346297622,0.873125,0.04111111111111111,0,0.6,hair_slide,Vgg
1.png,0.021395052891115884,0.873125,0.018680555555555554,0,0.7,hair_slide,Vgg
1.png,0.009385190487552693,0.873125,0.008194444444444445,0,0.8,hair_slide,Vgg
1.png,0.00063628410085103,0.873125,0.0005555555555555556,0,0.9,hair_slide,Vgg
1.png,0.0,0.873125,0.0,0,1,hair_slide,Vgg
1.png,0.873125,0.19080041168553558,0.15,0.1,0,hair_slide,Vgg
1.png,0.5846748681898066,0.19080041168553558,0.18088678433060698,0.1,0.1,hair_slide,Vgg
1.png,0.37188464724041864,0.19080041168553558,0.21008069850509326,0.1,0.2,hair_slide,Vgg
1.png,0.237017099430019,0.19080041168553558,0.154292343387471,0.1,0.3,hair_slide,Vgg
1.png,0.15127654497733237,0.19080041168553558,0.10562015503875968,0.1,0.4,hair_slide,Vgg
1.png,0.09369283385031417,0.19080041168553558,0.10054739268222414,0.1,0.5,hair_slide,Vgg
